-,"AC
        Type",AC Type,Aboard,Date,Fatalities,Flight #,Ground,Location,Operator,Registration,Route,Summary,Time,Year,cn / ln
ACCIDENT DETAILS,Fokker F.III,Fokker F.IIIH-NABS,3   (passengers:2  crew:1),"April 24, 1924",3   (passengers:2  crew:1),?,0,Over the English Channel,KLM Royal Dutch Airlines,H-NABS,"Lympne, England - Rotterdam, The Netherlands",The aircraft disappeared over the North Sea. The plane and passengers were never found.,?,1924,1535
ACCIDENT DETAILS,Junkers F-13,Junkers F-13A16,5   (passengers:3  crew:2),"June 08, 1924",5   (passengers:3  crew:2),?,0,"Barranquilla, Colombia",SCADTA,A16,Barranquilla - Bogota,Stalled after taking off and crashed into houses..,?,1924,684
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4297,1   (passengers:0  crew:1),"August 01, 1924",1   (passengers:0  crew:1),?,0,United States,US Aerial Mail Service,297,?,"The pliot made a low pass in honor of another pilot who had died, stalled and cashed.",?,1924,?
ACCIDENT DETAILS,Breguet 14,Breguet 14F-AFBD,1   (passengers:0  crew:1),"November 06, 1924",1   (passengers:0  crew:1),?,0,"Cabrerolles, France",Grands Express Aeriens,F-AFBD,?,"While en route the pilot encountered thunderstorms, lost control and crashed.",?,1924,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4311,1   (passengers:0  crew:1),"December 21, 1924",1   (passengers:0  crew:1),?,0,"Goshen, Indiana",US Aerial Mail Service,311,?,"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed.",?,1924,?
ACCIDENT DETAILS,de Havilland DH-34B,de Havilland DH-34BG-EBBX,8   (passengers:7  crew:1),"December 24, 1924",8   (passengers:7  crew:1),?,0,"Purley, England",Imperial Airways,G-EBBX,London - Paris,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing.",c 12:00,1924,36
ACCIDENT DETAILS,Junkers F-13,Junkers F-13R-RECA,5   (passengers:3  crew:2),"March 22, 1925",5   (passengers:3  crew:2),?,0,"Near Tiflis, Georgia, USSR",Zakavia,R-RECA,Tiflis - Suchumi,Shortly after take off the plane went out of control and crashed in flames.,?,1925,590
ACCIDENT DETAILS,Breguet 14,Breguet 14F-AFBB,3   (passengers:1  crew:2),"April 25, 1925",3   (passengers:1  crew:2),?,0,"Alicante, Spain",Grands Express Aeriens,F-AFBB,Alicante - Barcelona - Toulouse,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed.",?,1925,202
ACCIDENT DETAILS,Fokker (KLM)  F.III,Fokker (KLM)  F.IIIH-NABM,4   (passengers:3  crew:1),"June 25, 1925",4   (passengers:3  crew:1),?,0,"Landrécies, France",KLM Royal Dutch Airlines,H-NABM,Amsterdam - Paris,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight.",?,1925,1502
ACCIDENT DETAILS,Lioré-et-Olivier LeO H-13,Lioré-et-Olivier LeO H-13F-FREM,2   (passengers:0  crew:2),"June 26, 1925",2   (passengers:0  crew:2),?,0,"Alicante, Spain",Grands Express Aeriens,F-FREM,Oran - Alicante,While attempting to land the seaplane hit a lightning mast and crashed.,?,1925,?
ACCIDENT DETAILS,Breguet 14,Breguet 14F-AFBI,1   (passengers:0  crew:1),"July 20, 1925",1   (passengers:0  crew:1),?,0,"Rosas, Spain",Lignes Aeriennes Latecoere,F-AFBI,Toulouse - Barcelona,Crashed in unknown circumstance.,?,1925,209
ACCIDENT DETAILS,Potez IX,Potez IX?,1   (passengers:0  crew:1),"July 24, 1925",1   (passengers:0  crew:1),?,0,"Budapest, Hungary",CIDNA,?,?,Crashed while attempting to land 10 km from the airport,?,1925,?
ACCIDENT DETAILS,Dirigible ZR-1 Shenandoah (airship),Dirigible ZR-1 Shenandoah (airship)ZR-1,43   (passengers:0  crew:43),"September 03, 1925",14   (passengers:0  crew:14),?,0,"Caldwell, Ohio",Military - U.S. Navy,ZR-1,"Lakehurst, NJ - S.t Louis, MO","The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart.",0530,1925,?
ACCIDENT DETAILS,Spad 33,Spad 33?,?   (passengers:?  crew:?),"September 07, 1925",?   (passengers:?  crew:?),?,?,"Toul, France",CIDNA,?,?,?,?,1925,?
ACCIDENT DETAILS,De Havilland DH-4,De Havilland DH-4385,1   (passengers:0  crew:1),"October 01, 1925",1   (passengers:0  crew:1),?,0,"Mt. Nittany, Ohio",US Aerial Mail Service,385,New York - San Francisco,Crashed into a wooded area on Mt. Nittany in fog and low visibility.,?,1925,?
ACCIDENT DETAILS,Breguet 14,Breguet 14F-AEGZ,1   (passengers:0  crew:1),"November 14, 1925",1   (passengers:0  crew:1),?,0,"Nouadhibou, Mauritania",Lignes Aeriennes Latecoere,F-AEGZ,?,The pilot suffered sunstroke lost control of the plane and crashed.,?,1925,168
ACCIDENT DETAILS,Farman F-60 Goliath,Farman F-60 GoliathF-FHMY,2   (passengers:?  crew:?),"November 14, 1925",2   (passengers:?  crew:?),?,0,"Off Boulogne-sur-Mer, France",Air Union,F-FHMY,?,?,?,1925,?
ACCIDENT DETAILS,Curtiss Carrier Pigeon,Curtiss Carrier Pigeon602,1   (passengers:0  crew:1),"February 12, 1926",1   (passengers:0  crew:1),?,0,"Montpelier, Ohio",US Aerial Mail Service,602,?,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area.",?,1926,?
ACCIDENT DETAILS,Junkers F-13,Junkers F-13D-290,1   (passengers:0  crew:1),"March 08, 1926",1   (passengers:0  crew:1),?,0,"Staaken, Germany",Deutche Lufthansa,"D-290
D-290",?,While in a training filight the aircraft stalled and crashed while attempting to land.,?,1926,665
ACCIDENT DETAILS,Breguet 14,Breguet 14F-ADAI,1   (passengers:0  crew:1),"May 31, 1926",1   (passengers:0  crew:1),?,0,English Channel,Air Union,F-ADAI,Paris - Cryodon,The mail plane crashed into the English Channel and was never found.,?,1926,1908
ACCIDENT DETAILS,Caudron C-61,Caudron C-61F-AFBT,6   (passengers:4  crew:2),"July 03, 1926",6   (passengers:4  crew:2),?,0,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,F-AFBT,Paris - Prague - Budapest,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.,?,1926,5307
ACCIDENT DETAILS,Fokker F7,Fokker F7H-NACC,2   (passengers:1  crew:1),"July 09, 1926",2   (passengers:1  crew:1),?,0,"Wolvertem, Belgium",KLM Royal Dutch Airlines,H-NACC,Amsterdam - Rotterdam - Brussels - Paris,Crashed into the ground while descending in poor weather.,0930,1926,4759
ACCIDENT DETAILS,Junkers F-13,Junkers F-13D-272,5   (passengers:4  crew:1),"July 24, 1926",5   (passengers:4  crew:1),?,0,"Juist, Germany",Deutsche Lufthansa,D-272,?,Crashed under weather related.circumstances.,?,1926,660
ACCIDENT DETAILS,Bleriot 155,Bleriot 155F-AIEB,15   (passengers:13  crew:2),"August 18, 1926",3   (passengers:2  crew:1),?,0,"Hurst, Kent, England",Air Union,F-AIEB,"Lebourget, France - Croydon, England",The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.,?,1926,2
ACCIDENT DETAILS,Sikorsky S-25,Sikorsky S-25?,5   (passengers:4  crew:1),"September 26, 1926",2   (passengers:2  crew:0),?,0,"New York, New York",?,?,New York - Paris,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight.,?,1926,?
ACCIDENT DETAILS,Bleriot 155,Bleriot 155F- AICQ,7   (passengers:5  crew:2),"October 02, 1926",7   (passengers:5  crew:2),?,0,"Leigh, Kent, Unied Kingdom",Air Union,F- AICQ,Paris - London,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed..",1527,1926,1
ACCIDENT DETAILS,Fokker FG III,Fokker FG IIID-468,4   (passengers:3  crew:1),"October 08, 1926",4   (passengers:3  crew:1),?,0,"Bueren, Germany",Deutsche Lufthansa,D-468,?,Weather related.,?,1926,1554
ACCIDENT DETAILS,Handley Page W-10,Handley Page W-10G-EBMS,12   (passengers:10  crew:2),"October 21, 1926",0   (passengers:0  crew:0),?,0,English Channel,Imperial Airways,G-EBMS,Croydon - Paris,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.",c 13:15,1926,W10/3
ACCIDENT DETAILS,Breguet 14,Breguet 14F-AFAX,3   (passengers:3  crew:0),"November 11, 1926",3   (passengers:3  crew:0),?,0,"Cape Bojador, Morocco",Grands Express Aeriens,F-AFAX,Casablanca -Dakar,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed.",0800,1926,198
ACCIDENT DETAILS,Ryan M-1,Ryan M-12,1   (passengers:0  crew:1),"December 16, 1926",1   (passengers:0  crew:1),?,0,"Medford, Oregon",Pacific Air Transport,2,?,The postal plane crashed into a mountain slope in foggy conditions.,?,1926,?
ACCIDENT DETAILS,Fairchild FC-2,Fairchild FC-2NC3780,3   (passengers:1  crew:2),"January 08, 1928",3   (passengers:1  crew:2),?,0,"Near Canajoharie, New York",Colonial Western Airlines,NC3780,Minola - Albany - Buffalo,Became lost in dense fog and flew into trees in the Mohawk Valley while proceeding to Buffalo..,?,1928,39
ACCIDENT DETAILS,Latecoere 25,Latecoere 25F-AIKG,2   (passengers:0  crew:2),"January 16, 1928",2   (passengers:0  crew:2),F-AIKG,0,"Solis, Uruguay",Aeropostale,F-AIKG,Buenos Aires - Montevideo,The wing on the mail plane detached from the aircraft and crashed into the sea.,?,1928,633
ACCIDENT DETAILS,Breguet 14,Breguet 14,1   (passengers:0  crew:1),"January 22, 1928",1   (passengers:0  crew:1),?,0,"L'Hospitalet, Ariège",Aeropostale,F-AHEQ,Toulouse - Perpignan - Alicante - Casablanca - Dakar,Crashed after experiencing mechanical difficulties.,?,1928,?
ACCIDENT DETAILS,Breguet 14,Breguet 14F-AHEQ,2   (passengers:0  crew:2),"January 22, 1928",2   (passengers:0  crew:2),?,0,"Tarragona, Spain",Aeropostale,F-AHEQ,Casablanca - Alicante - Perpignan - Toulouse,Crashed in unknown circumstances.,?,1928,240
ACCIDENT DETAILS,Breguet 14,Breguet 14F-AFHN,1   (passengers:0  crew:1),"January 27, 1928",1   (passengers:0  crew:1),?,0,"Almeria, Spain",Aeropostale,F-AFHN,Casablanca - Alicante - Perpignan - Toulouse,After experiencing turbulence the pilot's seat belt broke and ejecting the pilot.,?,1928,162
ACCIDENT DETAILS,Boeing 40,Boeing 40NC280,2   (passengers:1  crew:1),"February 26, 1928",1   (passengers:1  crew:0),?,0,"Marquette, Nebraska",Boeing Air Transport,NC280,?,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.,?,1928,891
ACCIDENT DETAILS,Farman F-60 Goliath,Farman F-60 GoliathF-AEFC,2   (passengers:0  crew:2),"March 11, 1928",2   (passengers:0  crew:2),?,0,"Off Cape Griz Nez, France",Air Union,F-AEFC,Paris - Croydon,Crashed into the sea while delivering mail in poor weather.,?,1928,62/6943
ACCIDENT DETAILS,Boeing 40,Boeing 40NC282,2   (passengers:1  crew:1),"April 17, 1928",1   (passengers:1  crew:0),?,0,"Federal, Wyoming",Boeing Air Transport,"NC282
NC282",?,Spatial disorientation after entering a snowstorm.,?,1928,893
ACCIDENT DETAILS,Rohrbach Roland,Rohrbach RolandM-CCCC,9   (passengers:7  crew:2),"April 19, 1928",9   (passengers:7  crew:2),?,0,"Minuesa, Spain",Iberia Airlines,M-CCCC,Barcelona - Madrid,Crashed into a field after getting lost in fog.,?,1928,36
ACCIDENT DETAILS,Latecoere 26,Latecoere 26F-AIMQ,5   (passengers:3  crew:2),"May 07, 1928",1   (passengers:1  crew:0),?,0,"Florianopolis, Brazil
Florianopolis, Brazil
Florianopolis, Brazil",Aeropostale,F-AIMQ,?,An in flight fire caused he pilot to lose control and crash in a field after which a fire erupted.,?,1928,671
ACCIDENT DETAILS,Ford 4,Ford 4NC1492,2   (passengers:0  crew:2),"May 12, 1928",2   (passengers:0  crew:2),?,0,"Dearborn, Minnesota",Ford Air Freight Inc.,NC1492,Dearborn - Buffalo,The cargo plane crashed on its inaugural flight. The pilot tried to become airborne without sufficient speed.,?,1928,4-AT-001
ACCIDENT DETAILS,Junkers F-13,Junkers F-13D-583,5   (passengers:4  crew:1),"May 26, 1928",3   (passengers:2  crew:1),?,0,"Radevormwald, Germany",Deutsche Lufthansa,D-583,Essen - Dortmund - Frankfurt,"After taking off and encountering fog, the pilot decided to  to make a precautionary landing in a field but t hit a cow, crashed and burned. Pilot error.",?,1928,742
ACCIDENT DETAILS,AEGK,AEGKD-74,5   (passengers:4  crew:1),"June 14, 1928",5   (passengers:4  crew:1),?,0,"Frankfurt, Germany",Deutsche Lufthansa,D-74,?,"The ""Viper"" crashed for unknown reasons.",?,1928,439
ACCIDENT DETAILS,Douglas M-4,Douglas M-4NC1059,1   (passengers:0  crew:1),"June 22, 1928",1   (passengers:0  crew:1),?,0,"Lebo, Kansas",National Air Transport,NC1059,Chicago - Dallas,The mail plane flew into tornado like winds and crashed in a field.,?,1928,628
ACCIDENT DETAILS,Junkers F-13,Junkers F-13K-SALB,6   (passengers:4  crew:2),"July 10, 1928",6   (passengers:4  crew:2),?,0,Over the Gulf of Finland,Aero O-Y,K-SALB,Tallinn - Helsinki,Crashed under unknown circumstances,?,1928,760
ACCIDENT DETAILS,Vickers 74 Vulcan,Vickers 74 VulcanG-EBLB,6   (passengers:5  crew:1),"July 13, 1928",4   (passengers:4  crew:0),?,0,"Purley, England",Imperial Airways,G-EBLB,Testing,"After the aircraft had climbed to 800 feet it disappeared from view of the airport in a south-west direction. The aircraft crashed into a market garden near Leigh Cottage on Woodcote Road, it was seen by residents flying low over the roof tops with the engine evidently in difficulties. The aircraft crashed into a potato field, the pilot in an open cockpit clambered clear and helped one of the passengers from the enclosed cabin free. The aircraft burst into flames and it was not possible to rescue the other passengers.",?,1928,9
ACCIDENT DETAILS,Fokker (KLM) F.III,Fokker (KLM) F.IIIH-NABR,6   (passengers:5  crew:1),"July 24, 1928",1   (passengers:1  crew:0),?,0,"Waalhaven, Netherlands",KLM Royal Dutch Airlines,H-NABR,Sightseeing over Rotterdam,"The plane became airborne in a stalled condition, hit a shipsmast and crashed into the Waalhaven.",14:48,1928,1533 (KLM-1)
ACCIDENT DETAILS,Ford 4-AT-B Tri Motor,Ford 4-AT-B Tri MotorG-CATX,7   (passengers:5  crew:2),"August 25, 1928",7   (passengers:5  crew:2),?,0,"Near Port Townsend, BC, Canada",British Columbia Airways,G-CATX,Victoria - Seattle,Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster.,c 11:00,1928,4-AT-26
ACCIDENT DETAILS,Bleriot Spad 33,Bleriot Spad 33F-AIEP,5   (passengers:2  crew:3),"September 02, 1928",5   (passengers:2  crew:3),?,0,"Toul, France",CIDNA,F-AIEP,Toul - Clermont-Ferrand,"After taking off the engine failed, the plane stalled and crashed.",c 9:15,1928,5/4207
ACCIDENT DETAILS,de Havilland DH.50J,de Havilland DH.50JG-AUHI,2   (passengers:0  crew:2),"September 04, 1928",1   (passengers:0  crew:1),?,0,"Adelaide Hills, Australia",Qantas,G-AUHI,Adelaide - Longreach,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft encounted bad weather, crashed and caught fire.",?,1928,5
ACCIDENT DETAILS,Fokker Super Universal,Fokker Super UniversalNC7242,7   (passengers:6  crew:1),"September 04, 1928",7   (passengers:6  crew:1),?,0,"Pocatello, Idaho",National Parks Airways,NC7242,Great Falls - Pocatello - Salt Lake City,"While flying low and circling six times for a landing, the mail plane went into a nose dive when the pilot headed into the wind and crashed to the ground, rolling over several times.",11:30,1928,809
